Indiv1,Indiv2,Pop,TrioMl,Wang,LynchLi,LynchRd,Ritland,Queller,DyadML
R003F048M0,R003F048M1,R0R0,0.3352,0.466,0.4017,0.5616,0.6722,0.3673,0.5419
R003F049M0,R003F049M1,R0R0,0.5,0.4365,0.5214,0.4736,0.4943,0.4289,0.5
R003F050M0,R003F050M1,R0R0,0.6441,0.7408,0.641,0.6203,0.4192,0.77,0.6837
R003F051M0,R003F051M1,R0R0,0,0.1954,0.2821,-0.001,0.1018,0.2197,0
R003F052M0,R003F052M1,R0R0,0.3043,0.1897,0.2821,0.3833,0.3037,0.4526,0.3505
R003F053M0,R003F053M1,R0R0,0.0257,0.4618,0.4017,-0.18,-0.0977,-0.069,0.1379
R003F054M0,R003F054M1,R0R0,0.3548,0.6331,0.641,0.4854,0.1035,0.5148,0.5192
R003F055M0,R003F055M1,R0R0,0.4707,0.4621,0.4017,0.3937,0.6231,0.541,0.5
R003F056M0,R003F056M1,R0R0,0.0231,0.0069,-0.0769,0.0043,-0.048,0.2053,0.0233
R003F057M0,R003F057M1,R0R0,0.155,-0.2119,-0.1965,0.1872,0.2323,-0.0145,0.204
R003F058M0,R003F058M1,R0R0,1,1,1,1,0.4533,1,1
R003F059M0,R003F059M1,R0R0,0.5505,0.4196,0.4017,0.2127,0.2639,0.3801,0.5952
